,time,56,101,123,168,1452,1497,1519,1564,34,1430,1542,146,1475,79,12,1520,124,1453,191,57,1565,1498,169,102,35,1431,1543,147,1476,80,13,1521,125,192,1454,58,1566,1499,170,103,36,1432,1544,148,1477,81,14,1522,126,193,1455,59,1567,171,1500,104,37,1433,1545,149,1478,82
9,9,0.6675242185592651,4.490249156951904,1.5050461292266846,3.1864213943481445,2.7901692390441895,4.882354259490967,1.6561914682388306,6.032462120056152,4.9808573722839355,4.34873104095459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.689667820930481,4.491329669952393,1.4997504949569702,3.1720316410064697,2.77811598777771,4.878647327423096,1.6585474014282227,6.068964958190918,4.984814643859863,4.3395609855651855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0.7108173966407776,4.492453098297119,1.4946521520614624,3.1574044227600098,2.7663607597351074,4.874726295471191,1.6608338356018066,6.106318950653076,4.988862991333008,4.3302507400512695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0.7310210466384888,4.493621826171875,1.4897406101226807,3.142540693283081,2.7548954486846924,4.870571613311768,1.6630536317825317,6.144445419311523,4.99300479888916,4.320798873901367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.7503257393836975,4.494838237762451,1.4850060939788818,3.12744140625,2.7437126636505127,4.86616325378418,1.6652100086212158,6.18325662612915,4.997243404388428,4.311203479766846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0.768777072429657,4.4961066246032715,1.48043954372406,3.112107753753662,2.732804536819458,4.861476421356201,1.6673054695129395,6.222651958465576,5.001582622528076,4.301463603973389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0.7864189743995667,4.497429370880127,1.4760323762893677,3.0965418815612793,2.7221641540527344,4.856485843658447,1.6693427562713623,6.262519836425781,5.006025314331055,4.291577339172363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.8032935261726379,4.4988112449646,1.4717766046524048,3.0807461738586426,2.7117838859558105,4.851160526275635,1.671324372291565,0.019555969163775444,5.010575771331787,4.281543254852295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.819441020488739,4.500255584716797,1.4676650762557983,3.0647239685058594,2.7016563415527344,4.8454670906066895,1.6732523441314697,0.06000502407550812,5.015237331390381,4.271360874176025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0.8348998427391052,4.501767635345459,1.4636905193328857,3.048478364944458,2.691774845123291,4.839366912841797,1.6751291751861572,0.10055112093687057,5.020013809204102,4.26102876663208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
