,time,20,42,43,64,65,66,87,88,109,110,132,155,424,446,469,491,513,514,536,558,559,580,581,603,625,626,648,1528,1550,1551,1572,1573,492,447,21,133,604,537,44,111,582,1574,470,515,1529,89,22,649,178,425,560,156,627,671,67,1552,493,134,0,605,448,538,45,112,583,1575,471,516,179,650,90,672,23,561,1530,157,628,426,68,1553,135,606,494,1,539,449,46,113,584,673,1576,180,651,517,472,91,24,562,158,629,69,136,607,1554,2,495,540,450
9,9,3.660191297531128,2.4382967948913574,5.411538600921631,2.131887197494507,5.995825290679932,5.714170455932617,1.192865252494812,6.10556173324585,1.5137132406234741,0.46609270572662354,0.9577580094337463,0.150651216506958,5.889471054077148,0.05188847705721855,5.489377021789551,6.136363983154297,0.4230131506919861,4.7892937660217285,5.579624652862549,0.7839984893798828,3.9741780757904053,0.9881924986839294,3.355686902999878,2.0615406036376953,1.5812033414840698,3.0642659664154053,2.514920234680176,4.037381172180176,3.4880480766296387,4.8538312911987305,2.9454405307769775,4.6069159507751465,4.6743927001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,3.64534330368042,2.437847375869751,5.410848617553711,2.132850170135498,6.003509998321533,5.715491771697998,1.2024860382080078,6.109625816345215,1.5171570777893066,0.4723549783229828,0.9620311260223389,0.1547999233007431,5.893803596496582,0.05558706074953079,5.494988918304443,6.142416000366211,0.42540040612220764,4.7944135665893555,5.599999904632568,0.783949613571167,3.9745571613311768,0.9869253635406494,3.3499457836151123,2.051564931869507,1.5768592357635498,3.061152696609497,2.510446071624756,4.03281307220459,3.483752965927124,4.850697040557861,2.943390130996704,4.600592136383057,4.676776885986328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,3.63065767288208,2.437406063079834,5.410149097442627,2.1338050365448,6.0113983154296875,5.716823577880859,1.2120094299316406,6.1137237548828125,1.5205748081207275,0.4786260426044464,0.9662884473800659,0.1589585393667221,5.898134708404541,0.05927003175020218,5.500614166259766,6.148430347442627,0.4277665615081787,4.799585819244385,5.620326042175293,0.7839025259017944,3.974940061569214,0.9856703877449036,3.344085931777954,2.041628837585449,1.57254159450531,3.0580177307128906,2.505958080291748,4.0282487869262695,3.479482412338257,4.8475446701049805,2.9413554668426514,4.594218730926514,4.679176330566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,3.616137981414795,2.4369726181030273,5.409440040588379,2.134752035140991,6.019496917724609,5.718164920806885,1.2214350700378418,6.117855548858643,1.523966670036316,0.4849053919315338,0.9705299735069275,0.16312697529792786,5.902463912963867,0.06293740123510361,5.506252288818359,6.154407501220703,0.4301118850708008,4.804811000823975,5.640584945678711,0.7838572263717651,3.975327253341675,0.9844275116920471,3.338104009628296,2.031733989715576,1.5682506561279297,3.054860830307007,2.5014560222625732,4.023688793182373,3.4752368927001953,4.84437370300293,2.9393367767333984,4.587796211242676,4.681591510772705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,3.601787567138672,2.436546802520752,5.408720970153809,2.135690927505493,6.02781343460083,5.719516754150391,1.2307629585266113,6.122021675109863,1.5273330211639404,0.49119260907173157,0.9747556447982788,0.16730515658855438,5.9067912101745605,0.06658919155597687,5.511903285980225,6.1603474617004395,0.43243658542633057,4.810090065002441,5.660762310028076,0.7838137149810791,3.9757184982299805,0.9831964373588562,3.331996440887451,2.0218822956085205,1.5639861822128296,3.0516817569732666,2.4969401359558105,4.019133567810059,3.471015691757202,4.841184616088867,2.937333822250366,4.581324577331543,4.684021949768066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,3.58760929107666,2.436128616333008,5.407991886138916,2.1366219520568848,6.036355495452881,5.720879077911377,1.2399929761886597,6.126223087310791,1.5306739807128906,0.49748721718788147,0.9789653420448303,0.17149297893047333,5.911116600036621,0.07022541016340256,5.517566680908203,6.166249752044678,0.43474099040031433,4.815423488616943,5.680840969085693,0.7837718725204468,3.97611403465271,0.981977105140686,3.3257598876953125,2.0120749473571777,1.5597480535507202,3.04848051071167,2.492410659790039,4.014582633972168,3.4668192863464355,4.837977409362793,2.9353463649749756,4.574802875518799,4.686468124389648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,3.57360577583313,2.435717821121216,5.407252788543701,2.137545585632324,6.045131206512451,5.7222514152526855,1.2491251230239868,6.130459308624268,1.5339897871017456,0.5037887692451477,0.9831591248512268,0.17569032311439514,5.915439128875732,0.07384607940912247,5.523242473602295,6.172114372253418,0.4370253086090088,4.820811748504639,5.700806617736816,0.7837316393852234,3.9765138626098633,0.9807693362236023,3.3193907737731934,2.0023136138916016,1.555536150932312,3.0452568531036377,2.487867593765259,4.010035991668701,3.4626474380493164,4.834751605987549,2.9333744049072266,4.56823205947876,4.688930034637451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,3.559779167175293,2.435314178466797,5.406503677368164,2.1384613513946533,6.054149150848389,5.723634243011475,1.2581596374511719,6.134730815887451,1.537280559539795,0.5100967884063721,0.9873368740081787,0.17989711463451385,5.919759750366211,0.07745121419429779,5.528929710388184,6.177941799163818,0.4392898380756378,4.8262553215026855,5.720644474029541,0.7836930155754089,3.9769179821014404,0.9795729517936707,3.312885284423828,1.9925999641418457,1.551350474357605,3.042010545730591,2.4833109378814697,4.005495071411133,3.4584999084472656,4.831507205963135,2.93141770362854,4.561611652374268,4.691407680511475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,3.546131134033203,2.434917449951172,5.405743598937988,2.1393697261810303,6.063417911529541,5.725028038024902,1.2670965194702148,6.1390380859375,1.5405467748641968,0.5164108276367188,0.991498589515686,0.18411323428153992,5.92407751083374,0.08104083687067032,5.534628868103027,6.183732032775879,0.44153475761413574,4.831754684448242,5.740340232849121,0.7836559414863586,3.9773266315460205,0.9783878326416016,3.306239604949951,1.9829355478286743,1.54719078540802,3.03874135017395,2.478740930557251,4.0009589195251465,3.4543769359588623,4.828244209289551,2.929475784301758,4.5549421310424805,4.693901538848877,5.174876689910889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,3.532663583755493,2.434527635574341,5.404972553253174,2.140270709991455,6.072946548461914,5.7264323234558105,1.2759361267089844,6.143381595611572,1.5437884330749512,0.5227304100990295,0.9956442713737488,0.18833859264850616,5.9283928871154785,0.08461496978998184,5.54033899307251,6.189484119415283,0.44376036524772644,4.837310314178467,5.759880542755127,0.7836204171180725,3.9777400493621826,0.9772137403488159,3.2994496822357178,1.973321557044983,1.5430572032928467,3.035449266433716,2.4741575717926025,3.9964280128479004,3.4502782821655273,4.824962139129639,2.927548885345459,4.54822301864624,4.696412086486816,5.178267955780029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
