,time,410,432,477,522,544,589,611,656,678,455,634,701,567,500,433,679,612,545,478,657,590,411,523,456,635,702,568,501,434,680,613,546,479,658,591,412,524,725,457,636,703,569,502,681,435,614,547,480,659,592,704,525,413,458,637,682,570,32,10,77,55,1563,436,33,503,481,414,78,11,459,56,437,504,1564,34,482,79,415,12,460,57,505,438,35,102,483,80,13,416,461
20,20,3.650460958480835,0.0,2.8343570232391357,4.776025295257568,1.579691767692566,4.537771701812744,1.553147315979004,3.2719221115112305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5327393412590027,0.0,0.0,2.811915159225464,0.0,0.0,0.0,0.0,5.1187567710876465,0.0,0.0,0.0,0.0,1.793567419052124,5.035172462463379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,3.636232614517212,0.0,2.7985615730285645,4.775363445281982,1.580472469329834,4.53606653213501,1.5505777597427368,3.2475039958953857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5392391681671143,0.0,0.0,2.7932050228118896,0.0,0.0,0.0,0.0,5.129754543304443,0.0,0.0,0.0,0.0,1.8109275102615356,5.0305962562561035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,3.621990919113159,0.0,2.7644240856170654,4.774678707122803,1.5812151432037354,4.5342631340026855,1.5480899810791016,3.222524642944336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5455582737922668,0.0,0.0,2.7742066383361816,0.0,0.0,0.0,0.0,5.140919208526611,0.0,0.0,0.0,0.0,1.8269987106323242,5.025914192199707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,3.6077420711517334,0.0,2.7319068908691406,4.773968696594238,1.5819226503372192,4.53235387802124,1.545680284500122,3.1969966888427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5517036318778992,0.0,0.0,2.754927396774292,0.0,0.0,0.0,0.0,5.152251720428467,0.0,0.0,0.0,0.0,1.8419123888015747,5.021122455596924,6.235087871551514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,3.593491792678833,0.0,2.700961112976074,4.773232936859131,1.5825976133346558,4.53032922744751,1.5433449745178223,3.1709368228912354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576819777488708,0.0,0.0,2.7353756427764893,0.0,0.0,0.0,0.0,5.163753032684326,0.0,0.0,0.0,0.0,1.8557837009429932,5.016217231750488,6.244967937469482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,3.5792455673217773,0.0,2.6715316772460938,4.772469520568848,1.583242416381836,4.528178691864014,1.5410809516906738,3.144364356994629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5634997487068176,0.0,0.0,2.7155609130859375,0.0,0.0,0.0,0.0,5.175424575805664,0.0,0.0,0.0,0.0,1.8687139749526978,5.011195182800293,6.254969120025635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,3.565009593963623,0.0,2.64355731010437,4.7716779708862305,1.5838592052459717,4.525890350341797,1.5388851165771484,3.1173033714294434,0.0,4.623864650726318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5691630244255066,0.0,0.0,2.6954939365386963,0.0,0.0,0.0,0.0,5.1872663497924805,0.0,0.0,0.0,0.0,1.8807921409606934,5.006051540374756,6.265091419219971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,3.5507895946502686,0.0,2.616973876953125,4.770855903625488,1.5844500064849854,4.523451328277588,1.5367543697357178,3.0897810459136963,0.0,4.619175434112549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5746775269508362,0.0,0.0,2.6751861572265625,0.0,0.0,0.0,0.0,5.199278831481934,0.0,0.0,0.0,0.0,1.892096996307373,5.0007829666137695,6.275335311889648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,3.536591053009033,0.0,2.5917153358459473,4.7700018882751465,1.5850166082382202,4.520846366882324,1.5346859693527222,3.061828374862671,0.0,4.614383220672607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5800488591194153,0.0,0.0,2.6546504497528076,0.0,0.0,0.0,0.0,5.211462020874023,0.0,0.0,0.0,0.0,1.9026981592178345,4.995384693145752,0.0025154687464237213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,3.5224199295043945,0.0,2.5677151679992676,4.7691144943237305,1.5855604410171509,4.518058776855469,1.532677412033081,3.033479928970337,0.0,4.609484672546387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5852822661399841,0.0,0.0,2.6339008808135986,0.0,0.0,0.0,0.0,5.223816871643066,0.0,0.0,0.0,0.0,1.912657618522644,4.9898529052734375,0.013002606108784676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
