,time,812,834,856,857,878,879,901,902,923,924,946,1418,1440,1441,1462,1463,1485,1486,1507,1508,1529,1530,1552,1574,1575,1553,0,880,835,1531,947,858,1464,925,1509,1419,903,1576,836,1,813,1554,1442,1487,881,948,970,1532,814,859,926,1465,1510,2,904,1420,1577,837,792,1555,1488,882,1443,971,949,1533,815,860,927,1466,3,1511,905,1578,838,1421,1556,972,883,793,1489,1444,950,1534
9,9,4.558327674865723,4.061003684997559,3.0688633918762207,-99.0,2.4751813411712646,5.481845855712891,1.2630287408828735,6.12758731842041,1.6660354137420654,0.49314653873443604,1.0102109909057617,5.567272663116455,6.110494613647461,-99.0,0.3060835897922516,-99.0,6.097865104675293,-99.0,0.7338815927505493,-99.0,0.9283496141433716,2.7351784706115723,1.7459136247634888,1.4791572093963623,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
10,10,4.553927898406982,4.05314302444458,3.0644333362579346,-99.0,2.4752581119537354,5.479945659637451,1.2797608375549316,6.130692005157471,1.6702364683151245,0.4989801347255707,1.014643907546997,5.571988105773926,6.114752292633057,-99.0,0.3079264163970947,-99.0,6.109279155731201,-99.0,0.7333616614341736,-99.0,0.9271181225776672,2.7230658531188965,1.7393075227737427,1.4758431911468506,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
11,11,4.549511432647705,4.045290470123291,3.0600664615631104,-99.0,2.475334405899048,5.477994441986084,1.2962615489959717,6.133824825286865,1.6744009256362915,0.5048339366912842,1.0190670490264893,5.576701641082764,6.118985652923584,-99.0,0.3097558915615082,-99.0,6.12047815322876,-99.0,0.7328494787216187,-99.0,0.925896167755127,2.710779905319214,1.7327402830123901,1.4725455045700073,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
12,12,4.545079231262207,4.037446975708008,3.0557618141174316,-99.0,2.475409984588623,5.475990295410156,1.312526822090149,6.136985778808594,1.678529143333435,0.510707676410675,1.0234802961349487,5.581413269042969,6.123194217681885,-99.0,0.3115721344947815,-99.0,6.131465911865234,-99.0,0.732344925403595,-99.0,0.924683690071106,2.6983208656311035,1.7262120246887207,1.4692639112472534,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
13,13,4.540631294250488,4.029613494873047,3.051518201828003,-99.0,2.475484848022461,5.473930835723877,1.3285534381866455,6.140175819396973,1.6826214790344238,0.5166010856628418,1.0278834104537964,5.586122989654541,6.127378463745117,-99.0,0.3133752942085266,-99.0,6.142245769500732,-99.0,0.7318477630615234,-99.0,1.6012221574783325,2.6856887340545654,1.719723105430603,1.4659985303878784,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
14,14,4.536167144775391,4.021790981292725,3.047334671020508,-99.0,2.4755594730377197,5.4718146324157715,1.3443386554718018,6.143394947052002,1.6866782903671265,0.5225138664245605,1.0322762727737427,5.5908308029174805,6.131538391113281,-99.0,0.31516551971435547,5.011054039001465,6.152820587158203,-99.0,0.7313578724861145,-99.0,1.592751383781433,2.672884225845337,1.7132736444473267,1.4627492427825928,-99.0,-99.0,-99.0,5.742582321166992,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
15,15,4.531686782836914,4.013980388641357,3.0432095527648926,-99.0,2.475633144378662,5.469638347625732,1.3598802089691162,6.14664363861084,1.690699815750122,0.5284457206726074,1.0366588830947876,5.595536231994629,6.135673999786377,-99.0,0.3169429302215576,5.0184807777404785,6.16319465637207,-99.0,0.7308751344680786,-99.0,1.5843886137008667,2.659907817840576,1.7068636417388916,1.459515929222107,-99.0,-99.0,-99.0,5.743253707885742,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
16,16,4.527191162109375,4.0061821937561035,3.039142370223999,-99.0,2.4757065773010254,5.467400550842285,1.3751765489578247,6.149921894073486,1.6946865320205688,0.5343962907791138,1.0410311222076416,5.600238800048828,6.1397857666015625,-99.0,0.318707674741745,5.025957107543945,6.173371315002441,-99.0,0.7303993701934814,-99.0,1.576132893562317,2.6467607021331787,1.7004934549331665,1.456298589706421,-99.0,-99.0,-99.0,5.743929862976074,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
17,17,4.522679805755615,3.9983980655670166,3.0351314544677734,-99.0,2.4757792949676514,5.465097427368164,1.3902264833450317,6.1532301902771,1.6986387968063354,0.5403653383255005,1.0453927516937256,5.604938983917236,6.14387321472168,-99.0,0.32045987248420715,5.033482074737549,6.183353900909424,-99.0,0.7299304008483887,-99.0,1.5679835081100464,2.63344407081604,1.694163203239441,1.4530972242355347,-99.0,-99.0,-99.0,5.7446112632751465,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
18,18,4.518153190612793,3.990628480911255,3.0311763286590576,-99.0,2.475851535797119,5.462727069854736,1.405029296875,6.156569480895996,1.7025567293167114,0.5463525056838989,1.04974365234375,5.609635829925537,6.1479363441467285,-99.0,0.32219964265823364,5.041055679321289,6.193145751953125,-99.0,0.7294681668281555,-99.0,1.5599392652511597,2.6199591159820557,1.6878728866577148,1.4499117136001587,-99.0,-99.0,-99.0,5.745297431945801,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
