,time,660,682,704,705,726,727,749,750,771,772,794,816,817,839,1198,1220,1242,1243,1265,1287,1288,1309,1310,1332,1333,1354,1355,1377,1221,683,1266,795,728,638,1176,1311,773,862,1244,661,1378,1199,706,1400,840,1289,1356,751,818,1334,684,1222,1267,796,729,1312,1177,863,1401,1379,774,1245,662,707,841,1200,1290,1357,752,819,1335,685,1223,1268,797,730,1313,1402,864,1380,775,1246,842,708,1358,663,1291,1201,753,820,1336,686,1269,1224,798,731,1403,1314
11,11,0.7269729375839233,0.881070613861084,0.3559472858905792,0.2972864508628845,-99.0,0.33666348457336426,0.21610912680625916,-99.0,0.2743287682533264,0.5012373924255371,0.4812113642692566,0.25369760394096375,0.21450398862361908,0.24338331818580627,0.2705322504043579,0.3150332272052765,0.2184174805879593,0.30335670709609985,0.21004807949066162,0.4818047881126404,0.9019743204116821,0.21485431492328644,0.4525626599788666,0.1841457337141037,0.72854083776474,0.274858683347702,0.4236208200454712,0.17940838634967804,0.25407910346984863,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
12,12,0.7336907386779785,0.8787731528282166,0.35395729541778564,0.2992737591266632,-99.0,0.33747702836990356,0.2156735360622406,-99.0,0.2723274528980255,0.504418671131134,0.480956494808197,0.2525513768196106,0.2157832384109497,0.24383556842803955,0.2706989645957947,0.31375813484191895,0.21676917374134064,0.30193737149238586,0.208356112241745,0.4778852164745331,0.8962543606758118,0.21299855411052704,0.44890034198760986,0.18252941966056824,0.7320053577423096,0.2732780873775482,0.42240116000175476,0.1784384399652481,0.2540402114391327,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
13,13,0.7404875159263611,0.876355767250061,0.35196974873542786,0.3012685775756836,-99.0,0.3382784426212311,0.21523086726665497,-99.0,0.27033549547195435,0.5076100826263428,0.4806717038154602,0.25140270590782166,0.21706318855285645,0.24427956342697144,0.2708549201488495,0.3124777674674988,0.21512717008590698,0.3005155026912689,0.2066715657711029,0.4740026891231537,0.8904960751533508,0.21115301549434662,0.4452715218067169,0.18092025816440582,0.7354278564453125,0.2716991603374481,0.42116469144821167,0.17746680974960327,0.25399133563041687,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
14,14,0.747364342212677,0.873821496963501,0.3499847948551178,0.30327093601226807,-99.0,0.3390675485134125,0.21478116512298584,-99.0,0.2683514952659607,0.5108113288879395,0.48035702109336853,0.2502511441707611,0.2183438092470169,0.24471524357795715,0.2710001468658447,0.3111923336982727,0.21349145472049713,0.2990911900997162,0.20499439537525177,0.4701566994190216,0.8847038149833679,0.20931756496429443,0.44167575240135193,0.17931820452213287,0.7388062477111816,0.27012166380882263,0.4199117422103882,0.1764935553073883,0.25393250584602356,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
15,15,0.7543221712112427,0.8711733222007751,0.3480026125907898,0.30528077483177185,-99.0,0.33984413743019104,0.21432450413703918,-99.0,0.266376793384552,0.5140221118927002,0.4800126254558563,0.24909676611423492,0.21962504088878632,0.24514254927635193,0.27113470435142517,0.3099019527435303,0.2118619829416275,0.297664612531662,0.20332454144954681,0.46634677052497864,0.8788818120956421,0.20749212801456451,0.4381125867366791,0.17772319912910461,0.7421382069587708,0.268545001745224,0.41864266991615295,0.17551873624324799,0.25386375188827515,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
16,16,0.7613619565963745,0.8684144616127014,0.3460232615470886,0.30729812383651733,-99.0,0.3406080901622772,0.2138609141111374,-99.0,0.2644113302230835,0.5172420144081116,0.47963863611221313,0.24793967604637146,0.2209068089723587,0.245561420917511,0.27125853300094604,0.3086067736148834,0.2102387398481369,0.2962358891963959,0.20166195929050446,0.4625723659992218,0.8730340003967285,0.20567657053470612,0.43458157777786255,0.17613518238067627,0.7454215884208679,0.266970157623291,0.41735780239105225,0.1745423972606659,0.25378504395484924,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
17,17,0.7684848308563232,0.8655481934547424,0.344046950340271,0.30932295322418213,-99.0,0.3413592576980591,0.21339045464992523,-99.0,0.2624550461769104,0.5204707384109497,0.4792352020740509,0.24677999317646027,0.22218908369541168,0.24597181379795074,0.27137160301208496,0.30730700492858887,0.20862168073654175,0.2948051691055298,0.20000658929347992,0.4588330090045929,0.8671641945838928,0.20387081801891327,0.43108224868774414,0.17455409467220306,0.7486540079116821,0.26539722084999084,0.4160574674606323,0.2859669625759125,0.25369641184806824,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
18,18,0.7756916880607605,0.8625777959823608,0.3420737683773041,0.31135526299476624,-99.0,0.3420974612236023,0.21291320025920868,-99.0,0.26050788164138794,0.5237078666687012,0.4788024425506592,0.2456177920103073,0.22347179055213928,0.24637365341186523,0.2714739441871643,0.30600273609161377,0.20701079070568085,0.2933725416660309,0.19835838675498962,0.45512819290161133,0.8612761497497559,0.20207475125789642,0.42761415243148804,0.6229466795921326,0.7518332600593567,0.26382625102996826,0.41474202275276184,0.2864059507846832,0.2535978853702545,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19,19,0.7829836010932922,0.8595066070556641,0.3401038348674774,0.31339502334594727,-99.0,0.3428225517272949,0.21242918074131012,-99.0,0.25856977701187134,0.5269529819488525,0.4783405661582947,0.24445316195487976,0.22475486993789673,0.24676688015460968,0.2715655267238617,0.30469417572021484,0.2054060399532318,0.2919381856918335,0.19671730697155,0.4514574706554413,0.8553732633590698,0.20028828084468842,0.4241769313812256,0.6199294924736023,0.7549570202827454,0.26225733757019043,0.4134117662906647,0.2868337333202362,0.2534894645214081,-99.0,0.5286374092102051,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
20,20,0.7903615236282349,0.8563380241394043,0.33813729882240295,0.3154422342777252,-99.0,0.343534380197525,0.21193845570087433,-99.0,0.2566407024860382,0.5302056074142456,0.47784972190856934,0.24328620731830597,0.22603829205036163,0.2471514493227005,0.27164632081985474,0.30338147282600403,0.20380738377571106,0.2905021905899048,0.19508329033851624,0.4478203058242798,0.8494589924812317,0.19851131737232208,0.4207700788974762,0.61689293384552,0.7580230236053467,0.26069048047065735,0.41206708550453186,0.28725022077560425,0.2533711791038513,-99.0,0.530633807182312,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
